Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player_links,BBrefID
Chuck Connors,1947,1948,F-C,6-5,190.0,"April 10, 1921",Seton Hall,https://www.basketball-reference.com/players/c/connoch01.html,connoch01
Will Conroy,2007,2013,G,6-2,195.0,"December 8, 1982",Washington,https://www.basketball-reference.com/players/c/conrowi01.html,conrowi01
Anthony Cook,1991,1996,F-C,6-9,205.0,"March 19, 1967",Arizona,https://www.basketball-reference.com/players/c/cookan01.html,cookan01
Bert Cook,1955,1955,G-F,6-3,185.0,"April 26, 1929",Utah State University,https://www.basketball-reference.com/players/c/cookbe01.html,cookbe01
Bobby Cook,1950,1950,G-F,5-10,155.0,"April 1, 1923",Wisconsin,https://www.basketball-reference.com/players/c/cookbo01.html,cookbo01
Brian Cook,2004,2012,F,6-9,234.0,"December 4, 1980",Illinois,https://www.basketball-reference.com/players/c/cookbr01.html,cookbr01
Daequan Cook,2008,2013,G,6-5,205.0,"April 28, 1987",Ohio State,https://www.basketball-reference.com/players/c/cookda02.html,cookda02
Darwin Cook,1981,1989,G,6-3,184.0,"August 6, 1958",University of Portland,https://www.basketball-reference.com/players/c/cookda01.html,cookda01
Jeff Cook,1980,1988,F-C,6-10,215.0,"October 21, 1956",Idaho State University,https://www.basketball-reference.com/players/c/cookje01.html,cookje01
Norm Cook,1977,1978,F,6-8,210.0,"March 21, 1955",Kansas,https://www.basketball-reference.com/players/c/cookno01.html,cookno01
Omar Cook,2004,2005,G,6-1,190.0,"January 28, 1982",St. John's,https://www.basketball-reference.com/players/c/cookom01.html,cookom01
Quinn Cook,2017,2020,G,6-1,180.0,"March 23, 1993",Duke,https://www.basketball-reference.com/players/c/cookqu01.html,cookqu01
Tyler Cook,2020,2020,F,6-8,255.0,"September 23, 1997",Iowa,https://www.basketball-reference.com/players/c/cookty01.html,cookty01
Charles Cooke,2018,2018,G,6-5,196.0,"July 1, 1994",Dayton,https://www.basketball-reference.com/players/c/cookech01.html,cookech01
David Cooke,1986,1986,F,6-8,230.0,"September 27, 1963",Saint Mary's,https://www.basketball-reference.com/players/c/cookeda01.html,cookeda01
Joe Cooke,1971,1971,G,6-3,175.0,"August 14, 1948",Indiana,https://www.basketball-reference.com/players/c/cookejo01.html,cookejo01
Jack Cooley,2015,2018,F-C,6-9,260.0,"April 4, 1991",Notre Dame,https://www.basketball-reference.com/players/c/cooleja01.html,cooleja01
Chuck Cooper*,1951,1956,F,6-5,210.0,"September 29, 1926",Duquesne,https://www.basketball-reference.com/players/c/coopech01.html,coopech01
Duane Cooper,1993,1994,G,6-1,185.0,"June 25, 1969",USC,https://www.basketball-reference.com/players/c/coopedu01.html,coopedu01
Joe Cooper,1982,1985,C-F,6-10,230.0,"September 1, 1957","Howard University, Tulsa, Colorado",https://www.basketball-reference.com/players/c/coopejo01.html,coopejo01
Michael Cooper,1979,1990,G-F,6-5,170.0,"April 15, 1956",New Mexico,https://www.basketball-reference.com/players/c/coopemi01.html,coopemi01
Wayne Cooper,1979,1992,C-F,6-10,220.0,"November 16, 1956",New Orleans,https://www.basketball-reference.com/players/c/coopewa01.html,coopewa01
Tom Copa,1992,1992,C,6-10,275.0,"October 30, 1964",Marquette,https://www.basketball-reference.com/players/c/copato01.html,copato01
Chris Copeland,2013,2016,F,6-9,239.0,"March 17, 1984",Colorado,https://www.basketball-reference.com/players/c/copelch01.html,copelch01
Hollis Copeland,1980,1982,F,6-6,180.0,"December 20, 1955",Rutgers University,https://www.basketball-reference.com/players/c/copelho01.html,copelho01
Lanard Copeland,1990,1992,G,6-6,190.0,"July 16, 1965",Georgia State University,https://www.basketball-reference.com/players/c/copella01.html,copella01
Tyrone Corbin,1986,2001,G-F,6-6,210.0,"December 31, 1962",DePaul,https://www.basketball-reference.com/players/c/corbity01.html,corbity01
Chris Corchiani,1992,1994,G,6-0,185.0,"March 28, 1968",NC State,https://www.basketball-reference.com/players/c/corchch01.html,corchch01
Ken Corley,1947,1947,C,6-5,210.0,"May 10, 1920",Central State College,https://www.basketball-reference.com/players/c/corleke01.html,corleke01
Ray Corley,1950,1953,G,6-0,180.0,"January 14, 1928",Georgetown,https://www.basketball-reference.com/players/c/corlera01.html,corlera01
Dave Corzine,1979,1991,C,6-11,250.0,"April 25, 1956",DePaul,https://www.basketball-reference.com/players/c/corzida01.html,corzida01
Larry Costello,1955,1968,G,6-1,186.0,"July 2, 1931",Niagara University,https://www.basketball-reference.com/players/c/costela01.html,costela01
Matt Costello,2018,2018,F,6-9,245.0,"August 5, 1993",Michigan State,https://www.basketball-reference.com/players/c/costema01.html,costema01
Bryce Cotton,2015,2016,G,6-1,165.0,"August 11, 1992",Providence,https://www.basketball-reference.com/players/c/cottobr01.html,cottobr01
Jack Cotton,1950,1950,F-C,6-7,200.0,"October 25, 1924",Wyoming,https://www.basketball-reference.com/players/c/cottoja01.html,cottoja01
James Cotton,1998,1999,G,6-5,220.0,"December 14, 1975",Cal State Long Beach,https://www.basketball-reference.com/players/c/cottoja02.html,cottoja02
John Coughran,1980,1980,F,6-7,225.0,"September 12, 1951",California,https://www.basketball-reference.com/players/c/coughjo01.html,coughjo01
Mel Counts,1965,1976,C-F,7-0,230.0,"October 16, 1941",Oregon State,https://www.basketball-reference.com/players/c/countme01.html,countme01
Steve Courtin,1965,1965,G,6-1,188.0,"September 21, 1942",Saint Joseph's,https://www.basketball-reference.com/players/c/courtst01.html,courtst01
Joe Courtney,1993,1997,F,6-8,235.0,"October 17, 1969","Mississippi State, University of Southern Mississippi",https://www.basketball-reference.com/players/c/courtjo01.html,courtjo01
Marcus Cousin,2011,2011,C,6-11,245.0,"December 18, 1986","Seton Hall, Houston",https://www.basketball-reference.com/players/c/cousima01.html,cousima01
DeMarcus Cousins,2011,2019,C-F,6-10,270.0,"August 13, 1990",Kentucky,https://www.basketball-reference.com/players/c/couside01.html,couside01
Bob Cousy*,1951,1970,G,6-1,175.0,"August 9, 1928",Holy Cross,https://www.basketball-reference.com/players/c/cousybo01.html,cousybo01
Robert Covington,2014,2020,F-C,6-7,209.0,"December 14, 1990",Tennessee State,https://www.basketball-reference.com/players/c/covinro01.html,covinro01
Dave Cowens*,1971,1983,C-F,6-9,230.0,"October 25, 1948",Florida State,https://www.basketball-reference.com/players/c/cowenda01.html,cowenda01
Chubby Cox,1983,1983,G,6-2,180.0,"December 29, 1955","Villanova, San Francisco",https://www.basketball-reference.com/players/c/coxch01.html,coxch01
Johnny Cox,1963,1963,G,6-4,180.0,"November 1, 1936",Kentucky,https://www.basketball-reference.com/players/c/coxjo01.html,coxjo01
Wesley Cox,1978,1979,F,6-6,215.0,"January 27, 1955",Louisville,https://www.basketball-reference.com/players/c/coxwe01.html,coxwe01
Allen Crabbe,2014,2020,G-F,6-5,212.0,"April 9, 1992",California,https://www.basketball-reference.com/players/c/crabbal01.html,crabbal01
Torrey Craig,2018,2020,G-F,6-7,221.0,"December 19, 1990",USC Upstate,https://www.basketball-reference.com/players/c/craigto01.html,craigto01
Chris Crawford,1998,2004,F,6-9,235.0,"May 13, 1975",Marquette,https://www.basketball-reference.com/players/c/crawfch01.html,crawfch01
Freddie Crawford,1967,1971,G-F,6-4,189.0,"December 23, 1941",St. Bonaventure,https://www.basketball-reference.com/players/c/crawffr01.html,crawffr01
Jamal Crawford,2001,2020,G,6-5,185.0,"March 20, 1980",Michigan,https://www.basketball-reference.com/players/c/crawfja01.html,crawfja01
Joe Crawford,2009,2009,F,6-5,210.0,"June 17, 1986",Kentucky,https://www.basketball-reference.com/players/c/crawfjo01.html,crawfjo01
Jordan Crawford,2011,2018,G,6-4,195.0,"October 23, 1988","Indiana, Xavier",https://www.basketball-reference.com/players/c/crawfjo02.html,crawfjo02
Mitch Creek,2019,2019,G,6-5,216.0,"April 27, 1992",,https://www.basketball-reference.com/players/c/creekmi01.html,creekmi01
Jim Creighton,1976,1976,F,6-8,200.0,"April 18, 1950",Colorado,https://www.basketball-reference.com/players/c/creigji01.html,creigji01
Ron Crevier,1986,1986,C,7-0,235.0,"April 14, 1958",Boston College,https://www.basketball-reference.com/players/c/creviro01.html,creviro01
Hal Crisler,1947,1947,F,6-3,215.0,"December 31, 1923",Iowa State,https://www.basketball-reference.com/players/c/crislha01.html,crislha01
Joe Crispin,2002,2002,G,6-0,185.0,"July 18, 1979",Penn State,https://www.basketball-reference.com/players/c/crispjo01.html,crispjo01
Charlie Criss,1978,1985,G,5-8,165.0,"November 6, 1948",New Mexico State,https://www.basketball-reference.com/players/c/crissch01.html,crissch01
Russell Critchfield,1969,1969,G,5-10,150.0,"June 27, 1946",California,https://www.basketball-reference.com/players/c/critcru01.html,critcru01
Winston Crite,1988,1989,F,6-7,233.0,"June 20, 1965",Texas A&M,https://www.basketball-reference.com/players/c/critewi01.html,critewi01
Javaris Crittenton,2008,2009,G,6-5,200.0,"December 31, 1987",Georgia Tech,https://www.basketball-reference.com/players/c/crittja01.html,crittja01
Dillard Crocker,1949,1953,F-G,6-4,205.0,"January 19, 1925",Western Michigan,https://www.basketball-reference.com/players/c/crockdi01.html,crockdi01
Bobby Croft,1971,1971,C,6-10,200.0,"March 17, 1946",Tennessee,https://www.basketball-reference.com/players/c/croftbo01.html,croftbo01
Geoff Crompton,1979,1984,C,6-11,280.0,"July 4, 1955",UNC,https://www.basketball-reference.com/players/c/crompge01.html,crompge01
Terry Crosby,1980,1980,G,6-4,195.0,"January 4, 1957",Tennessee,https://www.basketball-reference.com/players/c/crosbte01.html,crosbte01
Austin Croshere,1998,2009,F,6-9,235.0,"May 1, 1975",Providence,https://www.basketball-reference.com/players/c/croshau01.html,croshau01
Jeff Cross,1986,1986,F,6-10,240.0,"September 1, 1961",University of Maine,https://www.basketball-reference.com/players/c/crossje01.html,crossje01
Pete Cross,1971,1973,C-F,6-9,230.0,"March 28, 1948",San Francisco,https://www.basketball-reference.com/players/c/crosspe01.html,crosspe01
Russell Cross,1984,1984,C,6-10,215.0,"September 5, 1961",Purdue,https://www.basketball-reference.com/players/c/crossru01.html,crossru01
Chink Crossin,1948,1950,G,6-1,165.0,"July 4, 1923",Penn,https://www.basketball-reference.com/players/c/crossch01.html,crossch01
John Crotty,1993,2003,G,6-1,185.0,"July 15, 1969",Virginia,https://www.basketball-reference.com/players/c/crottjo01.html,crottjo01
Bill Crow,1968,1968,G,6-1,180.0,"December 9, 1940","Cerritos College, BYU, Westminster College of Utah",https://www.basketball-reference.com/players/c/crowbi01.html,crowbi01
Mark Crow,1978,1978,F,6-7,210.0,"October 22, 1954",Duke,https://www.basketball-reference.com/players/c/crowma01.html,crowma01
Corey Crowder,1992,1995,G-F,6-5,214.0,"April 13, 1969",Kentucky Wesleyan College,https://www.basketball-reference.com/players/c/crowdco01.html,crowdco01
Jae Crowder,2013,2020,F,6-6,235.0,"July 6, 1990",Marquette,https://www.basketball-reference.com/players/c/crowdja01.html,crowdja01
Al Cueto,1970,1971,C-F,6-7,230.0,"August 2, 1946",Tulsa,https://www.basketball-reference.com/players/c/cuetoal01.html,cuetoal01
Jarrett Culver,2020,2020,G,6-6,195.0,"February 20, 1999",Texas Tech,https://www.basketball-reference.com/players/c/culveja01.html,culveja01
Pat Cummings,1980,1991,F-C,6-9,230.0,"July 11, 1956",Cincinnati,https://www.basketball-reference.com/players/c/cummipa01.html,cummipa01
Terry Cummings,1983,2000,F,6-9,220.0,"March 15, 1961",DePaul,https://www.basketball-reference.com/players/c/cummite01.html,cummite01
Vonteego Cummings,2000,2002,G,6-3,185.0,"February 29, 1976",Pitt,https://www.basketball-reference.com/players/c/cummivo01.html,cummivo01
Billy Cunningham*,1966,1976,F-C,6-6,210.0,"June 3, 1943",UNC,https://www.basketball-reference.com/players/c/cunnibi01.html,cunnibi01
Dante Cunningham,2010,2019,F,6-8,230.0,"April 22, 1987",Villanova,https://www.basketball-reference.com/players/c/cunnida01.html,cunnida01
Dick Cunningham,1969,1975,C,6-10,245.0,"July 11, 1946",Murray State,https://www.basketball-reference.com/players/c/cunnidi01.html,cunnidi01
Jared Cunningham,2013,2016,G,6-4,195.0,"May 22, 1991",Oregon State,https://www.basketball-reference.com/players/c/cunnija01.html,cunnija01
William Cunningham,1998,1999,C,6-11,250.0,"March 25, 1974",Temple,https://www.basketball-reference.com/players/c/cunniwi01.html,cunniwi01
Radisav Ćurčić,1993,1993,C,6-10,275.0,"September 26, 1965",,https://www.basketball-reference.com/players/c/curcira01.html,curcira01
Armand Cure,1947,1947,F,6-0,198.0,"August 1, 1919",Rhode Island,https://www.basketball-reference.com/players/c/curear01.html,curear01
Earl Cureton,1981,1997,F-C,6-9,210.0,"September 3, 1957","Robert Morris University (PA), Detroit Mercy",https://www.basketball-reference.com/players/c/curetea01.html,curetea01
Bill Curley,1995,2001,F,6-9,220.0,"May 29, 1972",Boston College,https://www.basketball-reference.com/players/c/curlebi01.html,curlebi01
Fran Curran,1949,1950,G,6-0,175.0,"September 9, 1922",Notre Dame,https://www.basketball-reference.com/players/c/currafr01.html,currafr01
Dell Curry,1987,2002,G,6-4,190.0,"June 25, 1964",Virginia Tech,https://www.basketball-reference.com/players/c/curryde01.html,curryde01
Eddy Curry,2002,2013,C,7-0,295.0,"December 5, 1982",,https://www.basketball-reference.com/players/c/curryed01.html,curryed01
JamesOn Curry,2010,2010,G,6-3,190.0,"January 7, 1986",Oklahoma State,https://www.basketball-reference.com/players/c/curryja01.html,curryja01
Michael Curry,1994,2005,F-G,6-5,210.0,"August 22, 1968",Georgia Southern University,https://www.basketball-reference.com/players/c/currymi01.html,currymi01
Seth Curry,2014,2020,G,6-2,185.0,"August 23, 1990","Liberty, Duke",https://www.basketball-reference.com/players/c/curryse01.html,curryse01
Stephen Curry,2010,2020,G,6-3,185.0,"March 14, 1988",Davidson,https://www.basketball-reference.com/players/c/curryst01.html,curryst01
Rastko Cvetković,1996,1996,C,7-1,260.0,"June 22, 1970",,https://www.basketball-reference.com/players/c/cvetkra01.html,cvetkra01
Mike D'Antoni,1974,1977,G,6-3,185.0,"May 8, 1951",Marshall,https://www.basketball-reference.com/players/d/dantomi01.html,dantomi01
Mike Dabich,1968,1968,C,7-0,242.0,"December 27, 1942",New Mexico State,https://www.basketball-reference.com/players/d/dabicmi01.html,dabicmi01
Ed Dahler,1952,1952,F,6-5,190.0,"January 31, 1926",Duquesne,https://www.basketball-reference.com/players/d/dahleed01.html,dahleed01
Quintin Dailey,1983,1992,G,6-3,180.0,"January 22, 1961",San Francisco,https://www.basketball-reference.com/players/d/dailequ01.html,dailequ01
Samuel Dalembert,2002,2015,C,6-11,255.0,"May 10, 1981",Seton Hall,https://www.basketball-reference.com/players/d/dalemsa01.html,dalemsa01
Howie Dallmar,1947,1949,F,6-4,200.0,"May 24, 1922",Stanford,https://www.basketball-reference.com/players/d/dallmho01.html,dallmho01
Erick Dampier,1997,2012,C,6-11,265.0,"July 14, 1975",Mississippi State,https://www.basketball-reference.com/players/d/dampier01.html,dampier01
Louie Dampier*,1968,1979,G,6-0,170.0,"November 20, 1944",Kentucky,https://www.basketball-reference.com/players/d/dampilo01.html,dampilo01
Bob Dandridge,1970,1982,F-G,6-6,195.0,"November 15, 1947",Norfolk State,https://www.basketball-reference.com/players/d/dandrbo01.html,dandrbo01
Antonio Daniels,1998,2011,G,6-4,195.0,"March 19, 1975",Bowling Green,https://www.basketball-reference.com/players/d/daniean01.html,daniean01
Erik Daniels,2005,2005,F,6-8,214.0,"April 1, 1982",Kentucky,https://www.basketball-reference.com/players/d/danieer01.html,danieer01
Lloyd Daniels,1993,1998,G,6-7,205.0,"September 4, 1967",Mount San Antonio College,https://www.basketball-reference.com/players/d/daniell01.html,daniell01
Marquis Daniels,2004,2013,G-F,6-6,200.0,"January 7, 1981",Auburn,https://www.basketball-reference.com/players/d/daniema01.html,daniema01
Mel Daniels*,1968,1977,C,6-9,220.0,"July 20, 1944",New Mexico,https://www.basketball-reference.com/players/d/danieme01.html,danieme01
Troy Daniels,2014,2020,G,6-4,200.0,"July 15, 1991",VCU,https://www.basketball-reference.com/players/d/danietr01.html,danietr01
Sasha Danilović,1996,1997,G,6-5,200.0,"February 26, 1970",,https://www.basketball-reference.com/players/d/danilsa01.html,danilsa01
Adrian Dantley*,1977,1991,F-G,6-5,208.0,"February 28, 1955",Notre Dame,https://www.basketball-reference.com/players/d/dantlad01.html,dantlad01
Pete Darcey,1953,1953,C,6-7,217.0,"March 3, 1930",Oklahoma State,https://www.basketball-reference.com/players/d/darcepe01.html,darcepe01
Jimmy Darden,1950,1950,G,6-1,170.0,"June 19, 1922",Denver,https://www.basketball-reference.com/players/d/dardeji01.html,dardeji01
Ollie Darden,1968,1970,F-C,6-7,235.0,"July 28, 1944",Michigan,https://www.basketball-reference.com/players/d/dardeol01.html,dardeol01
Yinka Dare,1995,1998,C,7-0,265.0,"October 10, 1972",George Washington,https://www.basketball-reference.com/players/d/dareyi01.html,dareyi01
Jesse Dark,1975,1975,G,6-5,210.0,"September 2, 1951",VCU,https://www.basketball-reference.com/players/d/darkje01.html,darkje01
Rick Darnell,1976,1976,C-F,6-10,215.0,"January 1, 1953",San Jose State,https://www.basketball-reference.com/players/d/darneri01.html,darneri01
Jimmy Darrow,1962,1962,G,5-10,170.0,"September 25, 1937",Bowling Green,https://www.basketball-reference.com/players/d/darroji01.html,darroji01
Luigi Datome,2014,2015,F,6-8,215.0,"November 27, 1987",,https://www.basketball-reference.com/players/d/datomlu01.html,datomlu01
Brad Daugherty,1987,1994,C,7-0,245.0,"October 19, 1965",UNC,https://www.basketball-reference.com/players/d/daughbr01.html,daughbr01
Mack Daughtry,1971,1971,G,6-3,175.0,"July 20, 1946",Albany State University,https://www.basketball-reference.com/players/d/daughma01.html,daughma01
Kornél Dávid,1999,2001,F,6-9,235.0,"October 22, 1971",,https://www.basketball-reference.com/players/d/davidko01.html,davidko01
Jermareo Davidson,2008,2009,F,6-10,230.0,"November 15, 1984",Alabama,https://www.basketball-reference.com/players/d/davidje01.html,davidje01
Bob Davies*,1949,1955,G-F,6-1,175.0,"January 15, 1920",Seton Hall,https://www.basketball-reference.com/players/d/daviebo01.html,daviebo01
Brandon Davies,2014,2015,F,6-10,240.0,"July 25, 1991",BYU,https://www.basketball-reference.com/players/d/daviebr01.html,daviebr01
Anthony Davis,2013,2020,F-C,6-10,253.0,"March 11, 1993",Kentucky,https://www.basketball-reference.com/players/d/davisan02.html,davisan02
Antonio Davis,1994,2006,F-C,6-9,215.0,"October 31, 1968",Texas-El Paso,https://www.basketball-reference.com/players/d/davisan01.html,davisan01
Aubrey Davis,1947,1947,G-F,6-2,175.0,"March 28, 1921",Oklahoma Baptist University,https://www.basketball-reference.com/players/d/davisau01.html,davisau01
Baron Davis,2000,2012,G,6-3,209.0,"April 13, 1979",UCLA,https://www.basketball-reference.com/players/d/davisba01.html,davisba01
Ben Davis,1997,2000,F,6-9,240.0,"December 26, 1972","Kansas, Arizona",https://www.basketball-reference.com/players/d/davisbe01.html,davisbe01
Bill Davis,1947,1947,F,6-3,215.0,"October 3, 1920",Notre Dame,https://www.basketball-reference.com/players/d/davisbi01.html,davisbi01
Bob Davis,1973,1973,F,6-7,215.0,"April 2, 1950",Weber State,https://www.basketball-reference.com/players/d/davisbo01.html,davisbo01
Brad Davis,1978,1992,G,6-3,180.0,"December 17, 1955",Maryland,https://www.basketball-reference.com/players/d/davisbr01.html,davisbr01
Brian Davis,1994,1994,F-G,6-7,200.0,"June 21, 1970",Duke,https://www.basketball-reference.com/players/d/davisbr02.html,davisbr02
Charles Davis,1982,1990,F,6-7,215.0,"October 5, 1958",Vanderbilt,https://www.basketball-reference.com/players/d/davisch02.html,davisch02
Charlie Davis,1972,1974,G,6-2,160.0,"September 7, 1949",Wake Forest,https://www.basketball-reference.com/players/d/davisch01.html,davisch01
Dale Davis,1992,2007,F-C,6-11,230.0,"March 25, 1969",Clemson,https://www.basketball-reference.com/players/d/davisda01.html,davisda01
Deyonta Davis,2017,2019,C-F,6-11,237.0,"December 2, 1996",Michigan State,https://www.basketball-reference.com/players/d/davisde01.html,davisde01
Dwight Davis,1973,1977,F,6-8,220.0,"October 28, 1949",Houston,https://www.basketball-reference.com/players/d/davisdw01.html,davisdw01
Ed Davis,2011,2020,F,6-9,218.0,"June 5, 1989",UNC,https://www.basketball-reference.com/players/d/davised01.html,davised01
Emanual Davis,1997,2003,G,6-4,195.0,"August 27, 1968",Delaware State University,https://www.basketball-reference.com/players/d/davisem01.html,davisem01
Glen Davis,2008,2015,F-C,6-9,289.0,"January 1, 1986",LSU,https://www.basketball-reference.com/players/d/davisgl01.html,davisgl01
Harry Davis,1979,1980,F,6-7,220.0,"January 27, 1956",Florida State,https://www.basketball-reference.com/players/d/davisha01.html,davisha01
Hubert Davis,1993,2004,G,6-5,183.0,"May 17, 1970",UNC,https://www.basketball-reference.com/players/d/davishu01.html,davishu01
Jim Davis,1968,1975,C-F,6-9,225.0,"December 18, 1941",Colorado,https://www.basketball-reference.com/players/d/davisji01.html,davisji01
Johnny Davis,1977,1986,G,6-2,170.0,"October 21, 1955",Dayton,https://www.basketball-reference.com/players/d/davisjo01.html,davisjo01
Josh Davis,2004,2012,F,6-8,235.0,"August 10, 1980",Wyoming,https://www.basketball-reference.com/players/d/davisjo02.html,davisjo02
Lee Davis,1969,1976,C-F,6-8,235.0,"October 11, 1945",NC Central,https://www.basketball-reference.com/players/d/davisle01.html,davisle01
Mark Davis,1989,1989,F-G,6-6,195.0,"June 8, 1963",Old Dominion,https://www.basketball-reference.com/players/d/davisma01.html,davisma01
Mark Davis,1996,2000,G-F,6-7,210.0,"April 26, 1973","Howard College, Texas Tech",https://www.basketball-reference.com/players/d/davisma02.html,davisma02
Mel Davis,1974,1977,F,6-6,220.0,"November 9, 1950",St. John's,https://www.basketball-reference.com/players/d/davisme01.html,davisme01
Mickey Davis,1972,1977,F-G,6-7,195.0,"June 16, 1950",Duquesne,https://www.basketball-reference.com/players/d/davismi02.html,davismi02
Mike Davis,1970,1973,G,6-3,185.0,"July 26, 1946",Virginia Union University,https://www.basketball-reference.com/players/d/davismi01.html,davismi01
Mike Davis,1983,1983,F,6-10,230.0,"August 2, 1956",Maryland,https://www.basketball-reference.com/players/d/davismi03.html,davismi03
Monti Davis,1981,1981,F,6-7,205.0,"July 26, 1958",Tennessee State,https://www.basketball-reference.com/players/d/davismo01.html,davismo01
Paul Davis,2007,2010,C,6-11,270.0,"July 21, 1984",Michigan State,https://www.basketball-reference.com/players/d/davispa01.html,davispa01
Ralph Davis,1961,1962,G,6-4,180.0,"September 7, 1938",Cincinnati,https://www.basketball-reference.com/players/d/davisra01.html,davisra01
Red Davis,1956,1956,C,6-7,220.0,"April 22, 1932",St. John's,https://www.basketball-reference.com/players/d/davisre01.html,davisre01
Ricky Davis,1999,2010,G,6-6,195.0,"September 23, 1979",Iowa,https://www.basketball-reference.com/players/d/davisri01.html,davisri01
Ron Davis,1977,1982,G-F,6-6,198.0,"May 1, 1954",Washington State,https://www.basketball-reference.com/players/d/davisro01.html,davisro01
Terence Davis,2020,2020,G,6-4,201.0,"May 16, 1997",Ole Miss,https://www.basketball-reference.com/players/d/daviste02.html,daviste02
Terry Davis,1990,2001,F-C,6-9,225.0,"June 17, 1967",Virginia Union University,https://www.basketball-reference.com/players/d/daviste01.html,daviste01
Tyler Davis,2019,2019,C,6-10,266.0,"May 22, 1997",Texas A&M,https://www.basketball-reference.com/players/d/davisty01.html,davisty01
Walt Davis,1954,1958,C-F,6-8,205.0,"January 5, 1931",Texas A&M,https://www.basketball-reference.com/players/d/daviswa01.html,daviswa01
Walter Davis,1978,1992,G-F,6-6,193.0,"September 9, 1954",UNC,https://www.basketball-reference.com/players/d/daviswa03.html,daviswa03
Warren Davis,1968,1973,F-C,6-6,212.0,"June 30, 1943",North Carolina A&T,https://www.basketball-reference.com/players/d/daviswa02.html,daviswa02
Willie Davis,1971,1971,C,6-8,234.0,"August 9, 1945",University of North Texas,https://www.basketball-reference.com/players/d/daviswi01.html,daviswi01
Andre Dawkins,2015,2015,G,6-5,215.0,"September 19, 1991",Duke,https://www.basketball-reference.com/players/d/dawkian01.html,dawkian01
Darryl Dawkins,1976,1989,C,6-11,251.0,"January 11, 1957",,https://www.basketball-reference.com/players/d/dawkida01.html,dawkida01
Johnny Dawkins,1987,1995,G,6-2,165.0,"September 28, 1963",Duke,https://www.basketball-reference.com/players/d/dawkijo01.html,dawkijo01
Paul Dawkins,1980,1980,F,6-5,190.0,"June 10, 1957",Northern Illinois,https://www.basketball-reference.com/players/d/dawkipa01.html,dawkipa01
Branden Dawson,2016,2016,F,6-6,225.0,"February 1, 1993",Michigan State,https://www.basketball-reference.com/players/d/dawsobr01.html,dawsobr01
Eric Dawson,2012,2012,F,6-9,250.0,"July 7, 1984",Midwestern State University,https://www.basketball-reference.com/players/d/dawsoer01.html,dawsoer01
Jimmy Dawson,1968,1968,G,6-0,175.0,"April 18, 1945",Illinois,https://www.basketball-reference.com/players/d/dawsoji01.html,dawsoji01
Tony Dawson,1991,1995,F,6-7,215.0,"August 25, 1967",Florida State,https://www.basketball-reference.com/players/d/dawsoto01.html,dawsoto01
Todd Day,1993,2001,G-F,6-6,188.0,"January 7, 1970",Arkansas,https://www.basketball-reference.com/players/d/dayto01.html,dayto01
Austin Daye,2010,2015,F,6-11,220.0,"June 5, 1988",Gonzaga,https://www.basketball-reference.com/players/d/dayeau01.html,dayeau01
Darren Daye,1984,1988,F-G,6-8,220.0,"November 30, 1960",UCLA,https://www.basketball-reference.com/players/d/dayeda01.html,dayeda01
Nando De Colo,2013,2014,G,6-5,200.0,"June 23, 1987",,https://www.basketball-reference.com/players/d/decolna01.html,decolna01
Billy DeAngelis,1971,1971,G,6-1,180.0,"October 5, 1946",Saint Joseph's,https://www.basketball-reference.com/players/d/deangbi01.html,deangbi01
Dave DeBusschere*,1963,1974,F-G,6-6,220.0,"October 16, 1940",Detroit Mercy,https://www.basketball-reference.com/players/d/debusda01.html,debusda01
Andrew DeClercq,1996,2005,F-C,6-10,230.0,"February 1, 1973",Florida,https://www.basketball-reference.com/players/d/declean01.html,declean01
Nate DeLong,1952,1952,C,6-6,220.0,"January 5, 1926",Wisconsin-River Falls,https://www.basketball-reference.com/players/d/delonna01.html,delonna01
Joe DePre,1971,1973,G,6-3,185.0,"December 19, 1947",St. John's,https://www.basketball-reference.com/players/d/deprejo01.html,deprejo01
DeMar DeRozan,2010,2020,G-F,6-6,220.0,"August 7, 1989",USC,https://www.basketball-reference.com/players/d/derozde01.html,derozde01
Hank DeZonie,1951,1951,C-F,6-6,215.0,"February 12, 1922",Clark Atlanta University,https://www.basketball-reference.com/players/d/dezonha01.html,dezonha01
Greg Deane,1980,1980,G,6-4,190.0,"December 6, 1957",Utah,https://www.basketball-reference.com/players/d/deanegr01.html,deanegr01
Dewayne Dedmon,2014,2020,C,7-0,245.0,"August 12, 1989",USC,https://www.basketball-reference.com/players/d/dedmode01.html,dedmode01
Don Dee,1969,1969,F,6-8,210.0,"August 9, 1943",Saint Mary of the Plains College,https://www.basketball-reference.com/players/d/deedo01.html,deedo01
Archie Dees,1959,1962,F-C,6-8,205.0,"February 22, 1936",Indiana,https://www.basketball-reference.com/players/d/deesar01.html,deesar01
Terry Dehere,1994,1999,G,6-2,190.0,"September 12, 1971",Seton Hall,https://www.basketball-reference.com/players/d/deherte01.html,deherte01
Red Dehnert,1947,1947,F,6-3,175.0,"January 24, 1924",Columbia University,https://www.basketball-reference.com/players/d/dehnere01.html,dehnere01
Bryce Dejean-Jones,2016,2016,G,6-6,209.0,"August 21, 1992","USC, UNLV, Iowa State",https://www.basketball-reference.com/players/d/dejeabr01.html,dejeabr01
